Expanded display is on.
-[ RECORD 1 ]-----+--------------------------
id                | cmrhw1p3j0004bufxoa7errho
businessProfileId | cmrhvudde0000bufxdcxtsxx1
title             | agbon
slug              | agbon
description       | fresh coconut
status            | DRAFT
minPrice          | 
maxPrice          | 
isNegotiable      | f
createdAt         | 2026-07-12 14:28:05.071
updatedAt         | 2026-07-12 14:38:50.637
categoryId        | cmrhtjh5n0002frfxmbe0bywu
currencyCode      | NGN
attributes        | {}
-[ RECORD 2 ]-----+--------------------------
id                | cmrhvv0zc0002bufxl27ptkm9
businessProfileId | cmrhvudde0000bufxdcxtsxx1
title             | samsung s20
slug              | samsung-s20
description       | original samsung s20
status            | DRAFT
minPrice          | 
maxPrice          | 
isNegotiable      | f
createdAt         | 2026-07-12 14:22:53.88
updatedAt         | 2026-07-12 14:47:05.621
categoryId        | cmrhtjh5n0002frfxmbe0bywu
currencyCode      | NGN
attributes        | {}
-[ RECORD 3 ]-----+--------------------------
id                | cmrlvuuem00066lfxkdy5jnav
businessProfileId | cmrlvuudl00046lfxw1u90m23
title             | Test Listing
slug              | test-listing
description       | A beautiful test listing
status            | PUBLISHED
minPrice          | 5000.00
maxPrice          | 
isNegotiable      | f
createdAt         | 2026-07-15 09:33:50.062
updatedAt         | 2026-07-15 16:50:25.74
categoryId        | cmrhtjh4p0001frfxuebpu62c
currencyCode      | NGN
attributes        | {}
-[ RECORD 4 ]-----+--------------------------
id                | cmrnbzl5b000cm7fxynkc3oyr
businessProfileId | cmrnby9960008m7fxz10gcnsv
title             | slippers
slug              | slippers
description       | wrong listing
status            | PUBLISHED
minPrice          | 
maxPrice          | 
isNegotiable      | t
createdAt         | 2026-07-16 09:53:11.375
updatedAt         | 2026-07-16 10:03:01.161
categoryId        | cmrhtjh5n0002frfxmbe0bywu
currencyCode      | NGN
attributes        | {}

Expanded display is off.
